'ANREDE';'TITEL';'GESCHLECHT';'VORNAME';'NAME';'STRASSE';'PLZ';'ORT';'EMAIL';'VORWAHL';'TELEFON';'ID';'LAND'
'Herr';'';'m';'Paul';'Kaufmann';'Welser Strasse 67';'4363';'Pabneukirchen';'';'';'0680 614 16 94';'18087';'AT'
'Herr';'';'m';'Florian';'Engel';'Ditscheinergasse 8';'4770';'Andorf';'';'';'0688 838 95 84';'17249';'AT'
'Frau';'';'w';'Annett';'Kappel';'Stubengraben 3';'8074';'Raaba';'';'';'0699 562 10 32';'162503';'AT'
'Frau';'';'w';'Sarah';'Eisenhauer';'Wiedner Hauptstrasse 19';'5271';'Moosbach';'';'';'0699 967 09 80';'37986';'AT'
'Frau';'';'w';'Jennifer';'Herz';'Sternhofweg 94';'9132';'Gallizien';'';'';'0688 430 03 53';'132428';'AT'
'Herr';'';'m';'Sebastian';'Bayer';'Kärntner Strasse 28';'4312';'Ried in der Riedmark';'';'';'0676 353 37 06';'77986';'AT'
'Frau';'';'w';'Ulrike';'Beckenbauer';'Ortsstrasse 46';'3244';'Ruprechtshofen';'';'';'0660 921 50 35';'29501';'AT'
'Frau';'';'w';'Andrea';'Eiffel';'Untere Hauptstrasse 11';'3012';'Wolfsgraben';'';'';'0676 189 57 18';'58118';'AT'
'Herr';'';'m';'Tobias';'Bader';'An Der Schütt 62';'7472';'Schachendorf';'';'';'0680 347 64 91';'110095';'AT'
'Herr';'';'m';'Mario';'Pfeffer';'Hausergasse 40';'4822';'Bad Goisern am Hallstättersee';'';'';'0664 823 38 83';'196127';'AT'
'Frau';'';'w';'Marina';'Wurfel';'Kuefsteinstrasse 51';'8322';'Studenzen';'';'';'0681 255 87 37';'30746';'AT'
'Herr';'';'m';'Michael';'Pfeffer';'Annenstrasse 12';'9655';'Maria Luggau';'';'';'0650 606 03 42';'55445';'AT'
'Frau';'';'w';'Simone';'Jung';'Lerchenfelder Strasse 31';'3522';'Lichtenau';'';'';'0680 109 63 65';'154264';'AT'
'Frau';'';'w';'Ursula';'Hertz';'Bayerhamerstrasse 46';'8342';'Gnas';'';'';'0680 791 22 64';'32313';'AT'
'Frau';'';'w';'Tanja';'Berg';'Magdalenaweg 29';'2451';'Hof am Leithaberge';'';'';'0680 454 71 12';'93124';'AT'
'Frau';'';'w';'Karin';'Hirsch';'Neutorstrasse 85';'3161';'St. Veit an der Gölsen';'';'';'0699 943 67 05';'155074';'AT'
'Herr';'';'m';'Dennis';'Krüger';'Steinamangerer Strasse 35';'9074';'Keutschach';'';'';'0660 723 29 90';'33283';'AT'
'Frau';'';'w';'Klaudia';'Holzman';'Grössgstötten 43';'4501';'Neuhofen an der Krems';'';'';'0680 181 81 21';'112930';'AT'
'Herr';'';'m';'Tobias';'Gersten';'Goethestrasse 96';'3282';'St. Georgen an der Leys';'';'';'0664 921 31 04';'132387';'AT'
'Frau';'';'w';'Ursula';'Egger';'Frauentaler Strasse 86';'9634';'Gundersheim';'';'';'0664 233 46 08';'86709';'AT'
'Frau';'';'w';'Marie';'Schiffer';'Blaue Lagune 58';'8742';'Obdach';'';'';'0676 642 43 44';'8870';'AT'
'Herr';'';'m';'David';'Junker';'Baumgarten 63';'5221';'Lochen am See';'';'';'0676 849 52 59';'27597';'AT'
'Herr';'';'m';'Dennis';'Jager';'Traungasse 88';'4655';'Vorchdorf';'';'';'0680 598 82 88';'41801';'AT'
'Frau';'';'w';'Janina';'Koertig';'Traunuferstrasse 60';'4712';'Michaelnbach';'';'';'0650 448 51 64';'177475';'AT'
'Herr';'';'m';'Dennis';'Hoffmann';'Kriemhildstrasse 11';'2851';'Krumbach';'';'';'0699 700 67 90';'68397';'AT'
'Frau';'';'w';'Antje';'Durr';'Ackerweg 26';'4223';'Katsdorf';'';'';'0680 302 51 60';'43290';'AT'
'Herr';'';'m';'David';'Amsel';'Bräuhof 5';'9300';'St. Veit an der Glan';'';'';'0660 951 43 37';'89776';'AT'
'Herr';'';'m';'Jörg';'Gloeckner';'Gewerbezentrum 25';'3104';'St. Pölten-Harland';'';'';'0699 182 75 73';'87070';'AT'
'Herr';'';'m';'Philipp';'Fiedler';'Spanheimerstrasse 1';'8324';'Kirchberg an der Raab';'';'';'0650 471 17 67';'56246';'AT'
'Herr';'Herr';'m';'Lukas';'Baum';'Himmelpfortgasse 29';'3830';'Waidhofen an der Thaya';'';'';'0699 959 97 18';'99118';'AT'
'Frau';'';'w';'Janina';'Wirth';'Sankt Georgener Hauptstrasse 98';'9581';'Ledenitzen';'';'';'0660 147 41 55';'43045';'AT'
'Herr';'';'m';'Jürgen';'Bach';'Zeppelinstr 64';'2084';'Weitersfeld';'';'';'0660 765 36 80';'33446';'AT'
'Frau';'';'w';'Silke';'Koenig';'Linzer Strasse 64';'9162';'Strau';'';'';'0681 792 23 87';'35853';'AT'
'Herr';'';'m';'Sebastian';'Freytag';'Kelsenstrasse 77';'4720';'Neumarkt im Hausruckkreis';'';'';'0650 668 95 10';'73301';'AT'
'Frau';'';'w';'Lea';'Schweizer';'Waidäckergasse 75';'4842';'Zell am Pettenfirst';'';'';'0688 103 43 67';'74640';'AT'
'Frau';'';'w';'Heike';'Egger';'Kriemhildstrasse 16';'3443';'Sieghartskirchen';'';'';'0664 346 82 14';'123571';'AT'
'Herr';'';'m';'Dominik';'Holzman';'Villacher Strasse 4';'4871';'Zipf';'';'';'0650 570 52 36';'70654';'AT'
'Dr.';'';'w';'Klaudia';'Abendroth';'Pazmaniteng 31';'3654';'Raxendorf';'';'';'0664 834 46 17';'52487';'AT'
'Frau';'';'w';'Ulrike';'Richter';'Bachloh 80';'5142';'Eggelsberg';'';'';'0660 646 68 69';'92194';'AT'
'Frau';'';'w';'Katharina';'Keller';'Völkermarkter Strasse 96';'8144';'Tobelbad';'';'';'0676 566 39 55';'146016';'AT'
'Frau';'';'w';'Ute';'Bohm';'Alpenstrasse 76';'4754';'Andrichsfurt';'';'';'0681 464 02 77';'62857';'AT'
'Herr';'';'m';'Martin';'Freitag';'Langenloiser Strasse 46';'8522';'Groß St. Florian';'';'';'0681 495 85 55';'74347';'AT'
'Herr';'';'m';'Tobias';'Zimmerman';'Kalhamer Strasse 43';'5524';'Annaberg';'';'';'0680 586 58 20';'44727';'AT'
'Frau';'';'m';'Dietmute';'Bohl';'Dinslakener Strasse';'67821';'Alsenz';'';'';'06362/71536009';'99316';'DE'
'Frau';'';'w';'Leah';'Scholz';'Obdacher Bundesstrasse 94';'4363';'Pabneukirchen';'';'';'0699 194 03 73';'86436';'AT'
'Herr';'';'m';'Lucas';'Kunze';'Bahngasse 22';'8510';'Stainz';'';'';'0688 461 11 38';'170969';'AT'
'Herr';'';'m';'Phillipp';'Schneider';'Lebzeltergasse 47';'9911';'Assling';'';'';'0660 920 55 27';'98795';'AT'
'Herr';'';'m';'Benjamin';'Baum';'Löwenzahnstrasse 29';'3143';'Pyhra';'';'';'0699 714 37 57';'93791';'AT'
'Frau';'';'w';'Gabriele';'Hertzog';'Ziegelgasse 41';'8181';'St. Ruprecht an der Raab';'';'';'0664 287 37 93';'115067';'AT'
'Herr';'';'m';'Benjamin';'Kirsch';'Laxenburger Strasse 60';'4343';'Mitterkirchen';'';'';'0688 491 42 42';'112454';'AT'
